title,author,newspaper,language,content,published_year,issue_number
Shamir agrees to talks,Barry Schweid,Anaheim Bulletin,english,"JERUSALEM     Israeli Prime Minister Yitzhak Shamir accepted on Thursday a U.S. formula for historic Middle East peace talks with the Arabs, saying Secretary of State James A. Baker III had assured him the issue of Palestinian representation would be resolved to Israel's satisfaction. On that basis, Shamir agreed to submit the proposal to the Israeli Cabinet on Sunday. A senior U.S. official said he was confident of approval. An exultant Baker said a conference with face-to-face negotiations between Israel and its Arab neighbor""no longer simply a dream."" Shamir told an Israeli television interviewer, ""We have agreements with representatives of the United States on the makeup of the Palestinian delegation. There will be no PLO men there; there will be no residents of east Jerusalem and there will be no people from the Palestinian diaspora. ""President Bush and Soviet President Mikhail S. Gorbachev announced Wednesday in Moscow that they intended to convene the peace conference in October, and Bush sent Baker to Israel to deal with final sticking points. Baker said work remained to be done before the peace conference could be held. But he said Shamir had given him ""the yes we were hoping for from the Israelis."" Shamir said, ""It appears thatthe United States has not yet come to agreement with the other side."" And, indeed, a leading Palestinian activist who has been mentioned in the past as a possible negotiator reacted with skepticism to the Israeli's acceptance. ""I cannot say that what we heard from Mr. Shamir is a real yes, because it is with a condition,"" said Faisal Husseini, who said he needed to hear more specific information from Baker. Baker is to meet with a Palestinian delegation Friday morning. Shamir, asked about chances the peace conference would finally occur, said, ""I think that all the efforts vested by the United States, and with the help of the Soviet Union ... I assume that it will take place."" Israel has fought five wars with its Arab neighbors since its establishment in 1948. Only Egypt, in 1979, has agreed to peace with the Jewish state.",1991, August 2 
Morbid curiosity,Vik Jolly,Anaheim Bulletin,english,"ANAHEIM     A stolen religious statue and two tombstones were recovered and two teenagers arrested at a home that initally alarmed police with its morbid decor. Santa Ana police on Wednesday arrested Jason Emanuel Alejos, 19, at his 1815 W. La Palma Ave. home and recovered a religious statue stolen from a Roman Catholic nursery school and tombstones from the graves of ba""We're trying to establish what if any significance these (tombstones) have to the statue, right now we believe they don't,"" said investigator David Salceda. ""There's nothing to attach any (satanic) significance and there's no evidence that there was any ceremony or ritual going on inside the house."" Alejos and Nalaina Sunt, 18, of Fountain Valley were booked into Orange County jail on charges of grand theft. Alejos was released Thursday on his own recognizance. Hunt was released on bail. Investigators found the inside of Alejos' house decorated with dark curtains, little lighting and drawings of skulls, heavy metal music posters and other inscriptions. ""(It's) possibly a morbid sense of taste and a morbid taste of decorating but to attach more significance to that would be inappropriate,""Salceda said.",1991, August 2 
Early morning crash leaves two men dead,LoriAnn Basheda,Anaheim Bulletin,english,"ANAHEIM     Two Anaheim men were killed and two others were critically injured Thursday morning when the stolen truck they were riding in careened off the road and crashed into a bus stop and two telephone poles on State College Boulevard. Killed were 1990 Katella High School graduate Emilio Sandoval and the driver of the truck, 21-year-old Raul Rodriguez. John Bowers, 19, also a Katella graduate, is in critical condition at UCI Medical Center in Orange along with another classmate who has not been identified. Another passenger, Marco Gonzalez, 17, was treated and released from Western Medical Center in Anaheim Thursday. The friends were driving south on State College Boulevard at about 4 a.m. Wednesday when the truck apparently hit a curb, sending it reeling into a covered bus stop and two telephone poles. Three of the passengers where thrown from the vehicle. Police say Rodriguez was exceeding the speed limit when the accident occurred. Police had few details about the accident, except that the truck parently stolen from Garden Grove sometime after midnight. Neither did police have any details about Rodriguez or Gonzalez. Sandoval, Bowers and the other unidentified passenger, however, were best friends. Bowers graduated from Emilio Sandoval Killed in car crash Katella High School this past spring. The other passenger graduated with Sandoval in 1990. ""They were all very good friends,"" said Sandoval's 22-year-old brother Vincente. ""Three best friends. "" All three played basketball for Katella. Sandoval also wrestled and played junior varsity football. ""He just got a new girlfriend and he was saving up for a new car,"" said Sandoval's sister, Luisa. ""He was just starting his life."" Sandoval's girlfriend, Noemie Bolicarbio, said he was also looking forward to his second year at Cal State Fullerton. ""He really had plans,"" Bolicarbio said. ""He wanted his parents to be proud of him. He loved his life and he wanted to settle down someday.",1991, August 2 
Bush backs Gorbachev's efforts to maintain unity,Brian Friedman,Anaheim Bulletin,english,"KIEV, U.S.S.R.     President Bush admonished restless Soviet republics on Thursday to av""hopeless course of isolation"" in their bid for more freedom. He warmly endorsed Mikhail Gorbachev's formula for holding the fractious nation together. Before ending a three-day Soviet visit, Bush also made a pilgrimage to Babi Yar, placing a wreath at the forested ravine where Nazis slaughtered Jews by the tens of thousands 50 years ago and vowing that ""this sort of murder will never happen again."" He used the stop here in the Ukraine as a platform to counsel restraint upon the republics in their demands for autonomy from Moscow. ""We cannot tell you how to reform your society,"" said Bush, standing beneath a towering marble statue of Lenin in the Ukrainian parliament. ""We will not try to pick winners and losers in political competition between republics ... and the center."" That is your business. That's not the business of the United States of America, ""he said. He rejected what he called ""a false choice"" between supporting Gorbachev or ""independence-minded leaders throughout the U.S.S.R."" But Bush lavished praise on the leader he left behind in Moscow, saying Gorbachev ""has achieved astonishing things."" ""His policies of glasnost, perestroika and democratization point toward the goals of freedom, democracy and economic liberty,"" said Bush. To grumbles from some Ukrainian lawmakers, Bush praised the Union Treaty that Gorbachev and leaders of nine republics struck in April to hold nine republics together in a federation while loosening Kremlin control. Six other republics, including the three Baltic states, have disdained the treaty. The United States has never recognized the Soviet annexation of Lithuania, Latvia and Estonia. ""We will maintain the strongest possible relationship with the Soviet government of President Gorbachev,"" said Bush. ""But we also appreciate the new realities of life in the U.S.S.R. and therefore, as a federation ourselves, we want good relations, improved relations, with the republics."" Bush spent six hours in this second-most-populous of Soviet republics before embarking on a 10-hour journey back to Washington.",1991, August 2 
Daly stockpiling cash for reelection bid,Andrew Silva,Anaheim Bulletin,english,"ANAHEIM     Councilman Tom Daly has more cash on hand for his re-election campaign than other council members, but there's still a long way to go. Daly and Mayor Pro Tern William Ehrle will be up for reelection in November 1992. For the reporting period ending June 30, Daly reported having $92,865 in his campaign fund with $8,329 in debts. He reported raising $47,349 for the first six months of this year. Ehrle reported having $45,612 on hand after getting $54,025 in contributions during the same period. Daly's biggest contributor for the reporting period was the Walt Disney Co., which gave him $1,500. He also received $300 from Ron Dominguez, executive vice president of Walt Disney Attractions and $200 from Jack Lindquist, Disneyland president, for a total of $2,000 in contributions connected with Disney. Disney officials have yet to decide if they will build a new $3 billion theme park and resort in Anaheim or in Long Beach. Ehrle received the most from Disney this period with a contribution of $3,000200 from Lindquist. ",1991,02-Aug
9 year old arrested with squirt gun part of crime wave,Mitchell Landsberg,Anaheim Bulletin,english,"For four hot hours recently, Healdsburg, Calif., was a safer, drier place. Carin Lieberman, squirt gun assailant, was behind bars. The citizenry could also breathe easier in Thonotosassa, Fla., when Tammy Toloff, 9-yearold pebble thrower, was hauled away in handcuffs. Crime? You want to hear about crime? In Cobb County, Ga., Rebecca Anding was thrown right into the clink on Easter Sunday after she was caught in the act of picking tulips for her grandmother's grave. But folks have come to expect the worst in Cobb County, which is also home to Linda Judson, who allegedly FAILED TO RETURN TWO VIDEOTAPES! You can bet they put her behind bars. Then there's Reba Martineau, the 88-year-old resident of Rochester, N.H., who took a kickball from children when it landed in her yard on April 12. She refuses to give it back. Her court hearing is Friday, and she could be jailed if she refuses to pay a fine. What's going on here? Isn't this a nation awash in drugs and violence, serial killers and Leona Helmsley? In short, don't police have anything better to do? Well, maybe, some law enforcement officials say. On the other hand, a crime is a crime, isn't it? ""You get criticized if you do something and you get criticized if you don't,"" complained Police Chief David G. Walchak of Concord, N.H., speaking as a vice president of the International Association of Chiefs of Police. ""The tendency,"" he added, ""is to err on the side of caution."" In California, prosecutor Peter Bumerts defends the decision to run in Carin Lieberman, who was jailed for four hours on July 6 for squirting two people. She pleaded innocent Monday to two counts of battery. ""They were minding their own business,"" Bumerts said of the complainants. To which defense attorney Chris Andrean responds: ""Come on, it was a joke and not a crime."" What are we to think? Sociologist Jack Levin, a professor at Northeastern University in Boston, sees something big happening here. ""I see this as a very large trend,"" said Levin. ""I think definitely we are attempting to re-institute control that we see as missing in our lives. ... It's why people are wearing ties again ... why the death penalty has been re-established ... why patriotism is again popular."" Why Carin Lieberman was busted for assault with a loaded squirt gun. "" I think the pendulum of change had swung too far in the direction of permissiveness,"" Levin said. ",1991, August 2 
Marine still looking to reach his g,LoriAnn Basheda,Anaheim Bulletin,english,"ANAHEIM     Michael Lum learned his Marine reserve unit was being shipped to Kuwait on a Monday. His girlfriend cried on Tuesday. They married Wednesday and had an emergency baptism for their newborn daughter on Thursday. He packed his bags Friday and signed a will on Saturday. On Sunday, Nov. 25, Lum left for Kuwait. That day, the 19-year-old Anaheim resident left behind an 18-yearold wife, a daughter and the police academy. But it took nearly a year to realize the war had also forced him to leave behind his innoc""It grew me up real fast,"" he said. ""And it gave me a real respect for life."" Lum was one of dozens of Anaheim residents whose lives today are profoundly different than they were one year ago Friday when Iraq invaded Kuwait, triggering the Persian Gulf War.",1991, August 2 
Baker seeking to draw Palestinians to talks,Serge Schmemann,Anaheim Bulletin,english,"AMMAN, Jordan     Armed with Israel's conditional agreement to a Middle East peace conference, Secretary of State James A. Baker III on Friday sought to convince the Palestinians, the last party yet to agree, that even if they accepted Israel's terms they still stood to gain the most from the process. Baker first met for four hours with three prominent Palestinians in Jerusalem, then flew to the Jordanian capital, Amman, for talks with King Hussein. Under the American plan, the Palestinians would take part in the first stage of the peace conference in a delegation with Jordan. A quick agreement between the Palestinians and Baker had not been expected since, as the Palestinian group made plain, they did not have the authority to accept or reject the restrictions on Palestinian participation raised by the Isra",1991, August 2 
Court rules for Talley,Andrew Silva,Anaheim Bulletin,english,"ANAHEIM    An appeals court has decided that former city manage r William O. Talley didn't attempt to defraud the Angels when the Rams moved to Anaheim Stadium. The 4th District Court of Appeal ruled Tuesday that the Angels are not entitled to recover about $5 million in legal fees the team has incurred during its five year fight with Ta""I was pleased to see the appeals court affirmed that the Angels actedimproperly,"" Talley said. Talley has countersued Golden West Baseball Co., which owns the Angels, alleging the organization went after him in order to force him out of his job to get a better deal with the city. That suit is moving forward, he said. Richard Brown, chief executive officer of the Angels, wouldn't comment on the decision. Talley, who is now city manager in Dana Point, was sued in 1985 and the suit was thrown out in 1988, but the Angels appealed. The city was responsible for Talley's legal fees, so the city also is now off the hook. ""I'm pleased the appeals court upheld the superior court decision,"" Council- man Tom Daly said. ""The Angels have a history of appealing court decisions they don't like ... I think the city's always dealt in good faith with the Angels and they've prolonged this needlessly."" However, another suit against the city still is working its way through the courts. The Angels sued the city and Anaheim Stadium Associates, a development partnership, to halt construction of a high-rise office complex on the stadium parking lot. ",1991, August 2 
Bush says only poor health would stop re-election bid,Michael Wines,Anaheim Bulletin,english,"WASHINGTON     President Bush all but announced his intention to seek re-election at a Rose Garden news conference Friday, saying only a change in his health would deter him from seeking a second term. Bush then tested a potential campaign theme by accus""frustratingly negative"" Congress of blocking his domestic legislative agenda. As if determined to allay any lingering concerns about his health, Bush declared, "" I feel like a million dollars,"" and said he was extraordinarily ""blessed"" for a man of 67. The remarks, his first since his return from the Soviet Union, were aimed at Democrats who this week accused him of abandoning social and financial problems at home for the glitter of global summitry. When asked about his re-election plans, Bush was initially coy, saying he had not decided whether to try for a second term and might not do so until next year. But moments later, he added that he knew of nothing that would stop him from making such a bid. ""I'll be honest, the only thing would be a health problem, and I don't have one right now,"" Bush said. ""But, I mean it wouldn't be fair to the American people to ask to be re-elected knowing that you, in your heart of hearts, might feel you couldn't finish the job. But I don't feel that way. ""With that comment, Bush edged close to making the formal announcement that he said he would make early next year. Although incumbent presidents are usually reticent about announcing for a second term, Bush's strong hint may have been intended to scotch rumors among some Bush family friends that his wife, Barbara , might oppose a second term for health reasons. Bush stressed his feeling several times that he had fully recovered from the heart arrhythmia and thyroid problems he experienced in the spring. The White House later said Bush had been examined by his doctor, Burton Lee, and pronounced in ""excellent health."" The president said he would discuss his prospects for a second term with his Washington political advisers this weekend at the presidential retreat in Camp David, Md. The White House press office declined to disclose who would attend that meeting, saying Bush did not wish to publicly embarrass anyone left out. Associates of Bush said that the meeting was to be an informal gathering meant to convey the message that the president was serious about preparing for a second term and that no one should be lulled into overconfidence by his current political popularity. Those associates later said that a mix of Bush's current advisers and veterans of his 1981 and 1984 races for the White House would go to Camp David. They included Robert Teeter, Bush's pollster; Frederic V. Malek, an airline executive and longtime political friend; Commerce Secretary Robert A. Mosbacher; Vice President Dan Quayle; Treasury Secretary Nicholas F. Brady; Ronald Kauf- man, a White House staff member and political adviser.",1991, August 2 
