title,author,newspaper,language,content,published_year,issue_number
Kimga pul kerak?,"Albatta, hammaga!",Oila va jamiyat,uzbek,"Albatta, hammaga! «Oila va jamiyat» tahririyati Sizga pul topishning juda oson yo'lini taklif qiladi. Agar Siz yashash, o'qish, ishlash joyingizda yuz kishining «Oila va jamiyat»ga obuna bo`lishiga erishsangiz — 75 so'm, ming fuqaroga shunday yordam bersangiz - 750 so'm, o'n ming inson targ'ibotingizdan bahramand bo'lsa 7 ming 500 so'mni tahririyatimiz kassasidan naqd olishingiz mumkin. Obuna tashkilotlardan pul o'tkazish orqali qilinsa, ayniqsa, juda oson ko'chadi! Faqat obuna varaqalari (pochta muhri bilan tasdiqlangan holda, albatta) shaxsan ko'rsatiladi. Mukofot 100 tadan ortiq kvitansiya taqdim etganlarga beriladi.Marhamat, pul ishlang. Haftaligimizning bir yillik obuna bahosi - 10 so'm 56 tiyin. Indeksi -64654. Manzilimiz: 700029. Toshkent - 29. Namoyishlar xiyoboni Metroning «Mustaqillik maydoni» bekati.",1991,2
No`xat,"J.Nazarov, shifokor",Oila va jamiyat,uzbek,"Bundan o'ttiz bir yil burun, pul almashish arfasida, otam bilan uzoq Qarshi cho'lida no'xat ekkanimiz yodimda. Ro`zgorimizdan ortganini sotmoqchi bo`ldik. Narx-navoni surishtirsak, Qashqadaryoda behad arzonchilik no`xatga xaridor topish qiyin. Kattaqo`rgon tomonlarda durust emish, deb eshitdik va hosilimizni ikki-uch eshakka ortib Zarafshon sohillariga yo'l oldik. Eshitganlarimiz rost ekan. Molimizni bir pasda sotib bo'ldik. Qo`limiz dasta pul ko'rdi. Bilasizmi o'shanda muxatning kilosini qanchadan sotgan edik! Ellik tiyindan! Bu «eskisi » pul bo`yicha. Hozirgiga chaqsak — «5» (besh 1) degani.Yaqinda Toshkentning Chorsu bozorida no`xotga xaridor bo'ldim. Uning bir kilosini yetti sum, deyishdi. Sho`ro puli 140 barobar qadrsizlanibdi. Yuksalish shu darajada davom etsa, ertaga ro`zgorni qanday tebratamiz) ?",1991,2
Etti kun,Ochil Tog'aev,Oila va jamiyat,uzbek,"Lenin VA Navoiy Ulug` bobomizning tavallud bayrami kunlari u kishining kamida uch haykali va ikki muzeyi ochildi. Jumhuriyat ruznomayu oynomalaridan to devoriy gazetalargacha Navoiyning xotirasiga maxsus son va sahifalar bagishladi. Radio va TV ham kecha-yu kunduz asosan shu ish bilan band bo'ldi... Leninning yubileylaridan saboq olmaganga o'xshaymiz. Oxiri baxayr bo'lsin!..Xayriya, Uzbekiston Bolalar jamg'armasi Samarqand Viloyati bo'limining tashabbusi bilan ko'p farzandli, yordamga muhtoj oilalarga 44 sigir, o'nta rangli televizor va 20 ta palos tekin tarqatildi. Homiylik
Xorazmlik yosh musiqachi Ulug`bek Polvonov Portugaliyaga jo'nab ketdi. U pioninochilarniig Lis- sabonda o'tajak xalqaro ko'rik-tanlovida ishtirok etadi. Hamyurtimizning yo'l harajatlarini O`zbekiston Bolalar jamg`armasi o'z zimmasiga olgan.«Yuksalish», «Interfaks» agentligining xabariga qaraganda, Orol buni mintaqasida so'nggi o'n yil mobaynida sil kasalligi 6, jigar xastaligi 5, oshqozon saratoni (rak) 10 baravar ko`paygan. Yagona dengizimizning quriyotganligi, iqtisodiy ahvolning og`irligi bilan izohlanadi bu «yuksalish». Mish-Mishchilar diqqatiga O`zbekiston xalq hofizi Sherali Jo'raevning oilasi haqidagi ba`zi mish-mishlarga chek qo'yiladigan bo'ldi. 25 sentyabr kuni sevimli hofizimiz poytaxtning «Anhor» qahvaxonasida o'g'illari Shohjahon, Zirg`omshoh sharafiga osh berdi. Oqshomgi bazm «Navruz» restoranida bo'ldi. Ziyofatlarda o`nlab xorijlik mehmonlar ham ishtirok etdilar. Bandalik O`zbek jurnalistikasi nazariyasining asoschisi, professor Ochil Tog'aev 66 yoshida vafot etdi. Xudo rahmat qilsin.",1991,2
Uy joy tanlashni bilasizmi?,Abu Ali ibn SINO,Oila va jamiyat,uzbek,"Sezdik, kuldingiz: ming-millionlab fuqarolar turar-joy olish uchun navbatda turgan zamonda uy tanlashga yo'l bo'lsin! Shunday esada, bobomizning bundan salkam ming yil burun yozib ketgan maslahatlarini yaxshi niyat bilan o'qib, bilib qo`ysangiz, zarar qilmaysiz. Uyingiz keng va barakali bo'lsin!
Turar-joy tanlovchi kishi  quyidagilarni bilishi kerak: Erning tuprog`i, balandligi va pastligi, ochiq va yopiqligi, suvi, suvning moddasi, oqib chiqishligi va ochiqligi yoki uning balandlik va pastlikdan oqishligi: u yerda shamollar esadimi, yoki u joy chuqurlikdami, shamollar qanaqa - ular sovuq sog`lom shamollarmi, u erga yaqin joyda qanday dengizlar, botqoqlar, tog`lar va konlar bor: (u kishi) yana o'sha joy aholisining sog`lik va kasallik hollarini, ularga qaysi kasalliklar odat bo`lib qolganini bilishi kerak; ularning quvvatlari, ishtahalari, (ovqatni) hazm qilishlari qandayligini va ovqatlari qanaqa ekanligini ham bilishi kerak; shuningdek, binolarning ahvollarini bilishi kerak; ular keng va ochiqmi? Kiriladigan yerlari tormi va havo kiradigan joylari bug`adigan darajada tor, siqiqmi? So'ngra, deraza va eshiklarni sharq va shimolga qaratib qurish kerak. Yana quyidagilarga e`tibor berish lozim: sharqiy shamollar binoning ichiga kiradigan bo'lsin, quyosh u joyning hamma joyiga tushib turadigan bo'lishi kerak, chunki quyosh nuri havoni tozalab sog`lomlashtiradi, shuningdek, yaqin yerda chuchik, yaxshi oqadigan, chuqur va toza suv bo'lishi kerak; bu xil suv yopiq suvning teskarisi bo'lab, qishda sovuq va yozda issiq bo'lib, bu yaxshi va foydali narsa.",1991,2
Shu kecha-kunduzda qanday foydali ishlar qildingiz?,Jonqobil Juma,Oila va jamiyat,uzbek,"Samarkandga, onamga xat yozdim. Murtazo Qarshiboy. («Mushtum»)Har holda, birovga yomonlik qilmadim. Viktor Degtyarev Pravda Vostoka» Navbatdagi tarixiy romanimning eng zo'r bobini yozib tugatdim. Chevara ko'rib, shukr qilib yuribman. Mirmuhsin. («Guliston») Ro`znomamizga kelgan yaxshi insonlarni qo'llashga harakat qilyapman. Kambar Ota. [«Ma`rifat»] O'zbekiston Kompartiyasining so'nggi qurultoyida ko'pchilik qatori o'zimni ham qiynab kelayotgan haqiqatni vijdonan aytdim .O`tkir Hoshimov [«Sharq yulduzi»] Olti yil qamoqda nohaq yotgan bir jabrdiyda haqida maqola yozib""Xalq so'zi""ga berdim. Akaxonlarimizdan birining to`yida astoydil xizmat qildim. Hamkasbim qarz so'ragan edi, berdim. Tushlikni nima qilsam ekan, deb o'tiribman.Safar OSTONOV. («Sport») Tog'am soch-soqolini ololmay yurgan ekan. O`n juft olmos olib jo'natdim.To'lqin ЕRQUL. [«Yosh leninchi»] Dunyoga kelib ota-onamga moddiy yordam berolmagan edim. Yaqinda parvardigor meni shunday baxtga muyassar etdi. Murod ABDURAHMONOV. («Qishloq haqiqati»]. Kuni-kecha bir onaxonning og'ir sumkalarini uyigacha ko'tarib bordim. Eslab quvonib yuribman. Dilmurod SAID. [«Toshkent haqiqati»] Navoiyda ekologik ahvol naqadar ayanchli, bilasiz. Shu haqda yana bir maqola yozdim. Ashurali JURAЕV.(« Uzbekiston adabiyoti va san`ati») Do'stim shifoxonaga tushib qolgan edi, ahvolidan xabarlashib turibman. Kecha kamyob dori topishga ko'maklashdim. Abdujalol Toypatov. [«Ishonch»]",1991,2
Unuitmang!,To`lqin Eshbek Jurnalist,Oila va jamiyat,uzbek,"Bu voqea Qibray qo'rg'oni «Nikoh uyi»da bo'ldi. Ezgu niyatda ariza kutarib kelgan yigit bilan qiz bir muammo, ustida jindek tortishib qoldilar.
- Menga tegadigan bo'lsang familiyamga o'tasan, — dedi yigit. Qiz rozilik bergisi kelmadi. Yigit tutaqdi. Uyaldi, shekilli. Gap chuvalandi.
- Er erdek bo`lishi uchun xotin uning familiyasida bo'lishi kerak, — dedi xirillab baqaloq kishi. — -Bo'l- masa begonalarga o'xshab qoladilar. Jufti haloling birovning qizidek tuyulaveradi.....
-Gapingiz qiziq bo'ldi. — Ilib ketdi sepkilli ayol.— Axir, xotin Deganlari birovning qizi bo'lmay...
 - Bu bizga Ovrupadan kelgan «baynalmilal»odatlardan biri. Insof bilan aytganda, bo'lg'usi jufti-halolining ota-buvasi nomiga tajovuz kilishga qaysi yigitning ma`naviy haqqi bor!
Bundan tashqari, so'nggi yillarda yosh oilalar o'rtasida qo'ydi-chiqdilar ko`payib ketdi. Bu achchiq haqiqatdan ko'z yumib bo'lmaydi. Afsuski, «zolim» erdan qutulgan sho`rlik juvonlar hujjatdagi «begona» familiyadan halos bo'lolmay xunob bo`lib yurishadi....
Kimki bu borada to'g'ri yo'lni tanlashni xohlasa moziyga nazar soling: qaysi ajdodimiz jufti xaloliga «Mening familiyamga o`tasan deb zug'um qilibdi! Kaysi bobomiz shunaqa bachkana gaplarga behuda vaqt sarflabdi!",1991,2
Serjant polkovnikni qo`lga tushirdi,Dam olish kuni edi,Oila va jamiyat,uzbek,"Dam olish kuni edi, Milisiya katta Serjanti M. Shamilov sayr qilish uchun xalq xo'jaligi yutuqlari ko'rgazmasiga yo'l oldi. Ko'rgazmada bir kishi unga haydovchilik guvohnomasini sotib olishni taklif qildi. Serjant o'z navbatida militsiya xodimi ekanligi haqidagi guvohnomasini ko`rsatdi. Biroq «sotuvchi» bo'sh kelmadi, grossmeysterchasiga yurish qilib, cho'ntagidan militsiya polkovnigi ekanligidan guvohlik beruvchi hujjatni ko'rsatdi. Ammo Shemilovning o'tkir nigohi guvohnomadagi surat bilan qarshisida turgan kimsaning o'xshamasligini  ilg`ay oldi. Serjant undan guvohnomani olmoqchi bo'lganida «polkovnik» o'zini butalar orasiga urdi. Lekin militsiya starshinasi M. Sadiboevning yordamida noma`lum shaxs qo'lga olindi va Olmaota shahar, Kalinin tuman ichki ishlar bo'limiga topshirildi. Firibgar ilgari ham qonunni bir necha bor buzgan kimsa ekanligi aniqlandi.",1991,2
Erinmang,Abdulhoshim O`rozov Samarqand viloyati Nurota tumanidagi 41-maktab drektori,Oila va jamiyat,uzbek,"Keyingi vaqtda yangi ro`znoma va oynomalar ko'paymoqda. Ko'paygani yaxshi, chunki dunyoni, insoniyatni ma`rifat, go'zallik yuksaltiradi. Biz yaqinda shunday ma`rifat tarqatishni niyat qilgan qiyan yangi «Oila va jamiyat ro`znomasining ikkinchi sonini o'qib qoldik. Tasodifan Eshitishimizcha 3-soni bundan ham zo'r chiqqanmish. Shunday zo'r gazeta nima uchun biz tomonlarga kelmayapti? Do'konlardan surishtirsak, sotuvchilar yelka qisishadi: «Bunaqa gazeta borligini birinchi eshitishim», «Oila va jamiyat» ni biz tomonlarga yuborishga erinayapsizlarmi?",1991,2
Tarbiya va Tarbiyat,Abu Lays As-Samarqandiy,Oila va jamiyat,uzbek,"Matn:Abu Tolib hazratlari g'oyibdan Rasulilloh janoblariga shunday savol berdilar:
Jamiyatdagi qusurlar, kishilar qalbidagi nopoklik qaydan paydo bo'lgan! Parvardigorimiz barchamizni bir pokiza axloqlardan bahramand etganlar-ku!! G`oyibdan ancha vaqt javob bo'lmadi. Oradan bir qancha muddat o'tganidan so'ng, kunlarning birida Hazratning huzuriga bir kishi kelib, o'g'lining  yurish-turishidan shikoyat qilib unga yaxshi tarbiya berolmaganidan, el-yurt oldida yuzi shuvut bo'lganidan nola qilibdi. Afv etgaylar, dedilar Abu Tolib, kim bo'lursiz, qayerliksiz!  Meni tanimaganingiz tabiiy. Savolingizga javob bermoqdin avval bilmog'im joiz bo'lgan narsalar bor. Bajonidil rozi bo`libdi kishi. Yoshligingizdagi kasbi-koringiz,hozirgi yumushingiz xususinda so`zlab beringiz. Kishi bir zum sukut saqladi, so`ng so`z boshladi: -Hazrat, yoshligim besaranjom  o'tdi. Otamning ilm ol deya koyishlariga aslo inobat qilmadim. Yoshim ulg`ayib, avval hammollik qildim. Uylanib oila tebratishga quvvatim yetmay,nopoklik yo`liga kirdim.Men kirmagan ko`chaning o`zi qolmadi. Siz ekkan daraxtigizning mevasini yeyishga majbursiz. Uning achchiqligi ham shirinligi ham mehnatingiz, mehr- muruvvatingiz oqibatidandur. O`glingiz necha yoshda! – deb so`radilar Abu Tolib gap  so`ngida Yigirmani qoraladi. Ani to'g'ri yo'lga solmoqlikka vaqt bor ekan. Ani mening huzurimga yuboring...
Xulosasi: ey o'g'il, farzandingni tarbiyalashdan avval sen o'zingni tarbiyala. Tarbiya ko'rgan oiladan tar- biyali, fazilatli, bilimli kishi balog'atga etgay. Shunday naql bor: o'g'rining bolasi to'g'ri bo'lmas, agar ul ota farzandi bo'lsa....
goyibdan ovoz keldi.
-Huzuringga borgan kishi men edim Odamlarni tarbiyati va tarbiyasi uchun senga vakolat beraman...
Abu Tolib hazratlari o'zlarining ming bir maslahatlarini shu tariqa qog`ozga tushurdilar.
(Bu o'rinda Abu Lays as-Samarqandiy o`z kitoblarini nazarga solgan ersalar ajab ermas) Bo'lib o'tgan suhbatdan so'ng, bir haftadan keyin Abu Tolib hazratlari huzuriga nobop tarbiyali o'g'il kelibdi. Hazrat yigitga hech bir so`z aytmabdilar. Talablari shu bo'libdi.
- Men bilan qirq kun birga bo`lursiz.
-Ma`qul. yigit pand-nasihatga tobi yo'qligidan shunday javob qilibdi.
Juma namozidan so'ng Abu Tolib hazratlari shogirdlari yoniga tarbiya qurmoqda mushtoq bo'lgan yigitni olib, bir mashvaratga yo'l olibdilar.
Shogird ostonada ta`zim bilan to`xtabdi. Qo'lini ko'ksiga qo`yib, davra ahliga salomini izhor qilibdi. Yigit esa hazratlari bilan izma- iz, kattayu- kichik bilan bir ohangda qo`l berishib ko'rishibdi. Davradagilar yigitni hazratga yaqin kishi deb o`ylab mulozamat ko'rsatibdilar. Turli savollar bilan aning boshini garang qilibdilar. Anglabdilarki, yigit davraga, aning iqlimiga mos ermas.Yigit ham shogird kabi ostona poygagidan joy olmaganiga afsuslanibdi. Tashqariga chiqqanda:
-Ustoz, meni ne uchun bu ahvol- ga soldingiz! deb nolalanibdi. Abu Tolib hazratlari shunday javob kilibdilar: Ey o`g`il, salomlashish yarim tarbiya. Salom aligingga qarab kishilar sening madaniyatingga baho berurlar. Qulog`ingda bo`lsin kim, kichiklarga avval qo'l uzatib, alar birlan sizlashib so'rash, o'z tenglaring bilan istagancha hazil-mutoyiba birlan so`rash, kattalar oldida ersa o'z hurmatingni saqla. Izzatingni saqla!
(Boshi o'tgan sonda. Davomi bor).",1991,2
Dasturxon ochiq qoldi,O`ral O`zbek Samarqand,Oila va jamiyat,uzbek,"Hamma o`rnidan qo'zg'aldi. Mehmonlar mehmondorchilikni davom ettirishga (qo'shni taklif qilib) chiqishdi. Mehmonlardan bo'shagan xonada ochiq dasturxon qoldi. Mening ko'nglimda ishtiboh, ranj...
Nega?Uying mehmonga to'lsin. dasturxoning doimo ochiq bo'lsin, deyishdi-ku. To'g`ri. Deyishadi. Biroq, ochiq bo'lsin, deyishadi, ochiq qolsin deyishmaydi, deyishmagan. Keyin, bu ochiqlik mehmon kelishiga taalluqli ketishiga emas. Qo'rqmangizkim, dardimni dasturxon qilmoqchi emasman. Bordi-yu, dasturxon qilsam ham, ochiq qoldirmoqchi emasman:
... Xullas, dasturxon ochiq qoldi. Hamma narsa joy-joyida: kosalarda chala ichilgan sho'rvalar, likopchalarda go'sht bo'laklari, ustixonlar, ichilmay qolgan choy to'la piyola, eng yomoni, eng yomoni esa... inson uchun eng yaxshi, muqaddas ne`mat — sochilib yotgan NON burdalari qoldi. Insoniyat ixtirolari ichida mo`jiza bo'lgan «non» (Timiryazev), islomning tabiiy va doimiy ehtiyojlaridan biri bo'lgan,hech vaqt me`daga tegmagan non ochiq-sochiq qoldi. Dasturxon ochiq qoldi. Mening ko'nglimda ishtiboh, ranj Qo'rqinchlisi (alam qilidigani ham) hozirgina bu ochiq qolgan dasturxon atrofida o'rta yoshlilar,hatto mo'ysafid - qari ham bor edi. Yoshlar haqida so'zlab o'tirmayman. O`rta yoshlilarni qo'ying, mo`ysafid otaxonga nima bo`ldi? Nega u kishi davradoshlaridan (yoki ahli mehmon islomdan). Dasturxonga fotiha tortilgach, non burdalarini to'plab, odatdagiday (odatlanganiday) dasturxonning yig`ishtirilishini talab qilmadi, talab ne, taklif qilmadi?!.. Nega?!
Yoki yaxshi odatimizga odatlanmagan ko'pchilikka qarshi borolmadimikin?
Axir, yaqinginada taom yeyilib, fotihadan keyin mexmonlarga qo'l yuvdirilar (bu orada dasturxon yopib, hech bo'lmasa, chetlari himarilib qo'yilar), dasturxon yig`ishtirilgandan keyingina mehmonu-mezbonlar qo`zg`alar edi-ku?!.
Hozir esa na taomdan oldin, na keyin qo'l yuvish bor (go'yoki qo'llarini allaqachon yuvib, qo'ltiqlariga urib qo'yishgandek!), na garg'ara qilib og`iz chayish bor (bu haqda og'iz ochmaslikka kelishgandek, xuddi!). Ayniqsa, dasturxonning ochiq qolishi qo'llarning yopilib borishidan darak bermaytirmi?!
Qo'rqinchlisi, bu kun men bu holni qishlog`imizdagina emas, viloyatimizning ko'plab qishloqlarida, hatto boshqa viloyatlarimizda ham kuzatmoqdaman. Nahotki, muqaddas nonning hurmatini joyiga qo'yishimiz shunchalar qiyin?!
qayoqdan keldi, qachon yopishdi bizga bu balo? «Kofirga o'xshamay ket!»deydi enam, ukam qo'lini yuvmay ovqat yeyishga shoshilganda yoki dasturxoninifotihasiz, himarmay ochiq qoldirib tark etayotganda. Rostdan ham ezgu, muqaddas an`ana, urf-odatlarimiz qoshida egilishimiz, egilib o'rganishimiz, o'rganib qad rostlashimiz lozimmasmi?!
Mehmon kutish, ko'nglini topish qiyin. Dasturxon yig`ishtirilmay turib ketishga (qo'zg'alishga) odatlangan mehmonga biror narsa deyish undan ham qiyin...
Xullas, yana odatdagiday (aslida odatimizga xilof) dasturxon ochiq qoldi. Mening ko'nglimda ranj, ishtibox....
Sizning ko'nglingizdachi, dasturxon atrofida o'tirgan aziz oila a`zolari, Davradoshlar, ""Davrdoshlar""?
Dasturxonni ochiq qoldirish....
Mehmon bilan birga ming yillik  ezgu odatlarimizdan biri ham kuzatilayotgandek tuyuladi, menga. Ochiq qolgan dasturxonga nazar solib, o`ylab qolaman. Bitta yomonroq buzoq butun podani, ko`prog`i esa, hatto butun boshli xalqni buzarkan. Noma`qul buzoq go'shtini yebsiz, demang. Noma`qul buzoq nima chuchqa nima. Cho'chqaning go'shtini emasligimizni juda yaxshi bilasiz. Ha, endi dasturxonda borini yeganmiz, mehmon bilan yeganmiz Mehmon ko'p yegan — atoyi xudo, axir...
Dasturxon ochiq qoladigan bo'lishiga sabab, mehmon,onam aytmoqchi: «KOFIR» ekan...
Hali aytdim. MЕHMON kutish, kuzatish qiyin. Nihoyat oramiz ochiq. Buyog`i oraliqdagi endigina mustaqil bo'lgan, dasturxoni ochiq (qolgan) oilani ko`z oddingizga keltiring. Dunyo qulatadi endi. Nazariga ilingudek milliyligimiz, urf-odatlarimiz bormi? Qolganmi? Ezgulikning kechi yo'q..
Keling, yomonimizni yashirib, yaxshimizni oshiraylik, bobolarimizdan ochiq qolgan (dasturxon emas!) yoki otameros oliy odatlarimizga ochiq ko'zimizni tikaylik. Keyin kelajakka ko'z tiksak bo'lar. Ko`z tikkanlarning qo'li ochiq dasturxonimizga tushmasin. Dasturxonimiz ochiq qolmasin.",1991,2
